"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 30","69.46","73.23","73.55","69.02","440.86K","-4.68%"
"2023- 05- 29","72.87","73.22","73.55","72.05","","-0.48%"
"2023- 05- 28","73.22","73.11","73.45","73.06","","0.76%"
"2023- 05- 26","72.67","71.89","73.05","71.49","261.50K","1.17%"
"2023- 05- 25","71.83","74.21","74.37","70.98","422.64K","-3.38%"
"2023- 05- 24","74.34","73.77","74.73","73.13","386.61K","1.96%"
"2023- 05- 23","72.91","72.10","73.79","71.71","317.59K","1.28%"
"2023- 05- 22","71.99","71.70","72.36","70.55","18.68K","0.61%"
"2023- 05- 19","71.55","71.94","73.40","71.03","69.95K","-0.43%"
"2023- 05- 18","71.86","72.75","72.87","71.42","80.86K","-1.33%"
"2023- 05- 17","72.83","70.60","73.26","70.04","273.71K","2.78%"
"2023- 05- 16","70.86","71.32","71.79","70.45","232.33K","-0.35%"
"2023- 05- 15","71.11","70.04","71.69","69.41","259.01K","1.53%"
"2023- 05- 12","70.04","71.42","71.78","69.93","275.44K","-1.17%"
"2023- 05- 11","70.87","72.77","73.50","70.63","365.89K","-2.33%"
"2023- 05- 10","72.56","73.58","73.89","71.80","351.51K","-1.56%"
"2023- 05- 09","73.71","72.84","73.78","71.34","317.49K","0.75%"
"2023- 05- 08","73.16","71.35","73.69","71.04","290.08K","2.55%"
"2023- 05- 05","71.34","68.70","71.81","68.48","330.59K","4.05%"
"2023- 05- 04","68.56","68.16","69.84","63.64","412.50K","-0.06%"
"2023- 05- 03","68.60","71.56","71.79","67.95","490.52K","-4.27%"
"2023- 05- 02","71.66","75.76","76.11","71.42","417.82K","-5.29%"
"2023- 05- 01","75.66","76.66","76.69","74.53","215.02K","-1.46%"
"2023- 04- 28","76.78","74.91","76.92","73.93","328.40K","2.70%"
"2023- 04- 27","74.76","74.38","75.28","74.03","345.88K","0.62%"
"2023- 04- 26","74.30","77.08","77.93","74.05","497.78K","-3.59%"
"2023- 04- 25","77.07","78.74","79.07","76.50","361.65K","-2.15%"
"2023- 04- 24","78.76","77.97","79.18","76.72","306.72K","1.14%"
"2023- 04- 21","77.87","77.13","78.39","76.72","291.11K","0.75%"
"2023- 04- 20","77.29","78.87","78.89","76.97","24.99K","-2.36%"
"2023- 04- 19","79.16","80.92","81.18","78.46","78.31K","-2.10%"
"2023- 04- 18","80.86","81.00","81.48","79.87","96.29K","0.04%"
"2023- 04- 17","80.83","82.48","82.71","80.47","217.05K","-2.05%"
"2023- 04- 14","82.52","82.40","83.12","81.76","275.13K","0.44%"
"2023- 04- 13","82.16","83.22","83.44","82.11","261.23K","-1.32%"
"2023- 04- 12","83.26","81.44","83.53","81.28","356.13K","2.12%"
"2023- 04- 11","81.53","79.88","81.59","79.37","309.68K","2.24%"
"2023- 04- 10","79.74","80.50","81.22","79.61","264.91K","-1.19%"
"2023- 04- 06","80.70","80.37","80.96","79.65","259.52K","0.11%"
"2023- 04- 05","80.61","81.01","81.24","79.72","254.97K","-0.12%"
"2023- 04- 04","80.71","80.44","81.81","79.61","343.57K","0.36%"
"2023- 04- 03","80.42","80.10","81.69","79.00","547.13K","6.28%"
"2023- 03- 31","75.67","74.37","75.72","73.77","304.36K","1.75%"
"2023- 03- 30","74.37","72.98","74.63","72.61","269.74K","1.92%"
"2023- 03- 29","72.97","73.61","74.37","72.76","312.67K","-0.31%"
"2023- 03- 28","73.20","72.86","73.93","72.19","328.47K","0.54%"
"2023- 03- 27","72.81","69.42","73.10","69.13","353.60K","5.13%"
"2023- 03- 24","69.26","69.51","70.38","66.82","380.85K","-1.00%"
"2023- 03- 23","69.96","69.95","71.67","69.14","335.24K","-1.33%"
"2023- 03- 22","70.90","69.48","71.31","68.89","337.64K","2.26%"
"2023- 03- 21","69.33","67.62","69.60","66.77","26.35K","2.50%"
"2023- 03- 20","67.64","66.62","67.70","64.12","76.87K","1.35%"
"2023- 03- 17","66.74","68.26","69.64","65.17","152.26K","-2.36%"
"2023- 03- 16","68.35","68.22","69.38","65.71","327.12K","1.09%"
"2023- 03- 15","67.61","71.56","72.56","65.65","555.16K","-5.22%"
"2023- 03- 14","71.33","74.70","74.90","70.78","432.86K","-4.64%"
"2023- 03- 13","74.80","76.60","77.47","72.30","457.42K","-2.45%"
"2023- 03- 10","76.68","75.65","77.11","74.77","371.83K","1.27%"
"2023- 03- 09","75.72","76.50","78.06","75.43","349.96K","-1.23%"
"2023- 03- 08","76.66","77.32","77.73","76.11","335.93K","-1.19%"
"2023- 03- 07","77.58","80.50","80.94","77.06","398.24K","-3.58%"
"2023- 03- 06","80.46","79.92","80.63","78.32","292.35K","0.98%"
"2023- 03- 03","79.68","77.89","79.90","75.83","374.20K","1.94%"
"2023- 03- 02","78.16","77.74","78.59","77.23","260.33K","0.60%"
"2023- 03- 01","77.69","76.85","77.85","76.12","342.12K","0.83%"
"2023- 02- 28","77.05","75.76","77.83","75.55","300.09K","1.81%"
"2023- 02- 27","75.68","76.42","76.82","74.99","266.09K","-0.84%"
"2023- 02- 24","76.32","75.60","76.63","74.09","313.04K","1.23%"
"2023- 02- 23","75.39","73.92","75.99","73.83","333.84K","1.95%"
"2023- 02- 22","73.95","76.11","76.55","73.80","332.02K","-2.90%"
"2023- 02- 21","76.16","76.53","77.51","75.69","35.48K","-1.47%"
"2023- 02- 20","77.30","76.69","77.74","76.33","","0.82%"
"2023- 02- 19","76.67","76.69","76.82","76.53","","0.43%"
"2023- 02- 17","76.34","78.07","78.25","75.06","93.27K","-2.74%"
"2023- 02- 16","78.49","78.54","79.54","77.92","117.60K","-0.13%"
"2023- 02- 15","78.59","78.83","79.15","77.25","264.49K","-0.59%"
"2023- 02- 14","79.06","79.06","79.61","77.46","299.94K","-1.35%"
"2023- 02- 13","80.14","79.94","80.62","78.45","301.30K","0.53%"
"2023- 02- 10","79.72","77.68","80.33","77.47","356.06K","2.13%"
"2023- 02- 09","78.06","78.45","78.84","76.52","324.16K","-0.52%"
"2023- 02- 08","78.47","77.49","78.57","77.08","353.47K","1.72%"
"2023- 02- 07","77.14","74.57","77.60","74.35","408.28K","4.09%"
"2023- 02- 06","74.11","73.23","74.51","72.25","380.03K","0.98%"
"2023- 02- 03","73.39","75.92","78.00","73.10","413.41K","-3.28%"
"2023- 02- 02","75.88","76.79","77.24","74.97","339.76K","-0.69%"
"2023- 02- 01","76.41","79.06","79.73","76.05","360.86K","-3.12%"
"2023- 01- 31","78.87","77.91","79.25","76.55","312.73K","1.25%"
"2023- 01- 30","77.90","80.04","80.49","77.66","327.43K","-2.23%"
